EDI_EMC-CAR;5420074900795;New;0;79,9000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
RASPBERRY_4B-4GO;4053199971756;New;12;74,9500;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
ZIP_PSR03;3858890733174;New;0;59,0000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
SAF_IPCV025WH4;8435325428369;New;4;79,9500;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
CH54784;5411478547846;New;4;17,9000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
CH54704;5411478547044;New;3;35,0000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
HIK_DS-PWA32-NST;6954273685430;New;0;465,0000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
ZIG_ZIGATEWIFI;0660902195794;New;8;75,0000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
ZIG_ZIGATETTL;0660902195800;New;34;55,0000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
UBI_WIZZBOX-ENO;3459950002461;New;0;270,0000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
TPR3;0641243586151;New;0;22,9000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
ELE_WIPI;3170111000385;New;2;7,9500;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
AJA_SPACECONTROL-W;0856963007057;New;2;40,8000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
AJA_SPACECONTROL-B;0856963007064;New;100;40,8000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
AJA_MOTIONPRO-W;0856963007200;New;2;80,4000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
AJA_MOTIONPRO-B;0856963007217;New;100;80,4000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
EDI_EMM-100;5420074900696;New;1;48,9500;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
NOD_SIN-2-RS-01;3700313921432;New;4;48,9500;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
CM180;5060163712511;New;0;48,5000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
ADAPT-GIACO;4016138663006;New;49;13,5000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
SEC_SCS318;5015914370076;New;0;199,0000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
RASPBERRY_4B-2GO;0765756931175;New;20;59,9500;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
RASPBERRY_4B-1GO;0765756931168;New;7;48,9500;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
EDI_EFCB-B5;5420074902003;New;0;59,9000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
ITL-3500;9005437697053;New;0;39,9000;0,0000;0,0000;0,0000;None;0,00000;;;DontAlign;
